iter	RMSE
0	0.1697207181
1	0.1666772826
2	0.1639771142
3	0.1613944346
4	0.1590015653
5	0.1569769493
6	0.1549182619
7	0.1532303414
8	0.1513839563
9	0.1495646898
10	0.1479273205
11	0.1466175737
12	0.1453740191
13	0.1442902846
14	0.1430607379
15	0.1421618704
16	0.1412971953
17	0.1402326808
18	0.1394316467
19	0.1387442643
20	0.1381151749
21	0.1373158059
22	0.136594298
23	0.1359642619
24	0.1354254885
25	0.1351082321
26	0.1347104963
27	0.1342850621
28	0.1338429562
29	0.1335571736
30	0.1332756443
31	0.1330836639
32	0.1328358232
33	0.1326057078
34	0.1322977851
35	0.1321790392
36	0.1319130486
37	0.1315785779
38	0.1312863666
39	0.1310676518
40	0.1308133667
41	0.1305822571
42	0.1304390286
43	0.1302784636
44	0.1301526085
45	0.1300274201
46	0.1299432662
47	0.1298245938
48	0.1296317625
49	0.1295683045
50	0.1293806023
51	0.1292598947
52	0.1291439222
53	0.129091532
54	0.1289266692
55	0.1287779171
56	0.1286813642
57	0.1285626913
58	0.1284496275
59	0.128385716
60	0.1282795107
61	0.1282336439
62	0.128201845
63	0.1280741142
64	0.1280338498
65	0.1279388095
66	0.1279083798
67	0.1277975199
68	0.1277337286
69	0.127575252
70	0.1274899871
71	0.1274355431
72	0.1274078257
73	0.127242508
74	0.1271959823
75	0.1271139375
76	0.1270284992
77	0.1269389151
78	0.1268912383
79	0.126793797
80	0.1267417985
81	0.1266486533
82	0.1266098431
83	0.1265169421
84	0.126469222
85	0.1263930396
86	0.1263103746
87	0.1262362935
88	0.1261606198
89	0.1260694405
90	0.1260196068
91	0.1259976765
92	0.1259765318
93	0.1258736206
94	0.1258490553
95	0.1257416884
96	0.1256428945
97	0.1256244855
98	0.1255919012
99	0.1255504533
100	0.1254989618
101	0.125391736
102	0.1253191242
103	0.1252545443
104	0.1252512735
105	0.12521892
106	0.1251615533
107	0.1251409265
108	0.1251207417
109	0.1250943454
110	0.1250636953
111	0.1250423536
112	0.1249823853
113	0.1249507606
114	0.1248694843
115	0.1248399383
116	0.1247862129
117	0.1247205298
118	0.1246944792
119	0.1246426887
120	0.1246227608
121	0.1245805714
