iter	Passed	Remaining
0	77	77287
1	113	56807
2	149	49601
3	184	45990
4	223	44479
5	259	42984
6	294	41786
7	323	40099
8	358	39481
9	396	39238
10	433	39007
11	469	38647
12	510	38742
13	549	38701
14	589	38704
15	627	38618
16	664	38436
17	705	38485
18	745	38467
19	783	38414
20	817	38104
21	850	37810
22	885	37620
23	922	37518
24	963	37589
25	1005	37674
26	1045	37689
27	1092	37934
28	1142	38248
29	1195	38655
30	1301	40679
31	1352	40920
32	1411	41374
33	1462	41541
34	1515	41780
35	1558	41728
36	1597	41575
37	1630	41268
38	1664	41019
39	1702	40857
40	1735	40594
41	1769	40366
42	1809	40278
43	1854	40293
44	1901	40349
45	1944	40321
46	1989	40334
47	2027	40206
48	2064	40077
49	2102	39938
50	2138	39787
51	2180	39755
52	2252	40247
53	2316	40573
54	2359	40534
55	2403	40511
56	2444	40439
57	2479	40275
58	2520	40193
59	2556	40048
60	2593	39915
61	2627	39756
62	2662	39598
63	2707	39603
64	2756	39645
65	2794	39546
66	2833	39455
67	2870	39348
68	2910	39276
69	2952	39226
70	3005	39324
71	3044	39242
72	3096	39325
73	3137	39257
74	3175	39165
75	3213	39072
76	3256	39031
77	3294	38941
78	3327	38791
79	3365	38699
80	3397	38543
81	3434	38445
82	3471	38349
83	3509	38273
84	3543	38143
85	3577	38024
86	3612	37910
87	3645	37778
88	3701	37892
89	3742	37838
90	3777	37729
91	3809	37598
92	3846	37514
93	3880	37405
94	3915	37296
95	3951	37208
96	3989	37137
97	4012	36930
98	4045	36819
99	4080	36720
100	4113	36612
101	4147	36517
102	4179	36402
103	4219	36354
104	4266	36368
105	4332	36540
106	4382	36575
107	4438	36660
108	4476	36589
109	4533	36682
110	4573	36628
111	4609	36548
112	4642	36440
113	4676	36348
114	4710	36248
115	4742	36141
116	4775	36039
117	4809	35947
118	4843	35857
119	4877	35766
120	4911	35682
121	4944	35585
122	4977	35492
123	5011	35407
124	5048	35339
125	5096	35351
126	5139	35331
127	5182	35306
128	5217	35229
129	5250	35140
130	5283	35051
131	5319	34981
132	5356	34916
133	5398	34887
134	5431	34803
135	5464	34718
136	5500	34648
137	5535	34575
138	5571	34509
139	5603	34424
140	5636	34339
141	5668	34249
142	5704	34189
143	5738	34111
144	5773	34046
145	5807	33971
146	5841	33894
147	5875	33823
148	5907	33740
149	5941	33668
150	5976	33601
151	6034	33666
152	6087	33700
153	6145	33758
154	6195	33775
155	6212	33611
156	6250	33559
157	6288	33513
158	6308	33366
159	6343	33305
160	6384	33271
161	6418	33202
162	6452	33134
163	6485	33057
164	6519	32994
165	6555	32935
166	6608	32963
167	6650	32935
168	6684	32866
169	6735	32883
170	6779	32864
171	6819	32826
172	6851	32752
173	6885	32685
174	6919	32621
175	6957	32574
176	6994	32520
177	7034	32483
178	7070	32428
179	7104	32363
180	7133	32279
181	7170	32229
182	7208	32180
183	7245	32131
184	7280	32074
185	7319	32031
186	7359	31995
187	7394	31938
188	7428	31874
189	7461	31807
190	7496	31751
191	7548	31765
192	7594	31754
193	7643	31757
194	7681	31710
195	7717	31659
196	7766	31659
197	7816	31660
198	7853	31613
199	7890	31562
200	7930	31524
201	7964	31465
